GT NN eV BPFA SSS ITKrMM FS3D wKSVD
1308.0 1278.425730445853 541.6479991388321 1246.1127047243722 1258.0269305603 1251.223726820215 1253.4856850662457 1245.1336435998644
1243.0 1297.1651001851976 541.9719991397858 1266.8621325575148 1277.5556161556328 1272.8199875684154 1274.3736527274802 1266.2935280141548
1338.0 1322.6154028429567 542.2959991407395 1285.7004980026345 1299.018602108385 1293.3967425572819 1293.0348234010994 1285.4766923042787
1323.0 1328.5001061927642 542.6199991416931 1290.7342310997756 1303.986876732167 1298.8176897042154 1298.299432757212 1291.149586256172
1272.0 1322.5351009280714 542.9439991426468 1286.339215241046 1302.3812829418825 1295.0172123544778 1295.0107128066425 1287.9472879758382
1341.0 1311.1614770747615 543.2679991436005 1275.4598252143323 1292.4228872866174 1283.749682104436 1284.4796143675935 1277.4219105272348
1353.0 1291.2461176653633 543.5919991445542 1258.163088764193 1275.7538685284117 1265.3515223341342 1267.608281436469 1260.7344564403293
1290.0 1272.841856765314 543.9159991455078 1240.0374859404565 1258.0936245169366 1246.6631994431573 1249.3126567439153 1242.877589032668
1263.0 1250.8201616367924 544.2399991464615 1223.7106345379934 1240.3930469782792 1229.1293010880033 1232.6542441682705 1226.4059376287357
1166.0 1228.929470980615 544.5639991474152 1207.7419619893165 1222.3383739850533 1212.3813348085969 1217.0633508282388 1210.598212015222
1210.0 1219.7544935770838 544.8879991483689 1199.228682220325 1214.3562764392566 1203.5315465247036 1208.4618447864634 1202.1468428622652
1199.0 1207.5500612187632 545.2119991493225 1187.762175652869 1201.7901215300092 1191.550705801505 1196.7880136608178 1190.296857667924
1166.0 1186.3045859667745 545.5359991502762 1174.784462574612 1187.2099074204266 1177.9265857587643 1184.1573237383275 1177.3580849977986
1157.0 1168.038772185112 545.8599991512299 1154.6830136322546 1167.1663536362278 1156.964873524694 1163.4807587241569 1156.8196332275368
1132.0 1144.3539412563184 546.1839991521836 1132.772511270656 1144.6649701847907 1133.789997592274 1141.118010475114 1134.2818384397985
1081.0 1120.819198767669 546.5079991531372 1107.7992108926558 1121.1714940973097 1108.0344670274776 1116.0255533124714 1109.5320657046577
1159.0 1099.5443279262704 546.8319991540909 1081.7959208805914 1098.5475487372853 1081.6198937118756 1090.1135915317134 1083.5290652293406
