x   y   c
0.3162277660 0.0001000000 -3.0674792964
0.3162277660 0.0001778279 -3.0677579647
0.3162277660 0.0003162278 -3.0682529353
0.3162277660 0.0005623413 -3.0691312976
0.3162277660 0.0010000000 -3.0706874674
0.3162277660 0.0017782794 -3.0734364019
0.3162277660 0.0031622777 -3.0782666545
0.3162277660 0.0056234133 -3.0866727966
0.3162277660 0.0100000000 -3.1005934734
0.3162277660 0.0177827941 -3.1241634464
0.3162277660 0.0316227766 -3.1269326261
0.3162277660 0.0562341325 -3.1657891648
0.3162277660 0.1000000000 -3.1820652080
0.3162277660 0.1778279410 -3.2066818920
0.3162277660 0.3162277660 -2.8734823463
0.3162277660 0.5623413252 -2.8110268259
0.3162277660 1.0000000000 -2.6570104949
0.3162277660 1.7782794100 -2.5059723908
0.3162277660 3.1622776602 -2.4605667736
0.3162277660 5.6234132519 -1.8661104331
0.3162277660 10.0000000000 -1.4573401958
0.3162277660 17.7827941004 -1.0473457946
0.3162277660 31.6227766017 -0.6240386920
0.3162277660 56.2341325190 -0.2897181583
0.3162277660 100.0000000000 -0.1181216671
0.3162277660 177.8279410039 -0.0369068249
0.3162277660 316.2277660168 0.0000000000
0.3162277660 562.3413251903 0.0000000000
0.3162277660 1000.0000000000 0.0000000000
0.5623413252 0.0000100000 -2.9871246532
0.5623413252 0.0000177828 -2.9871399151
0.5623413252 0.0000316228 -2.9871670530
0.5623413252 0.0000562341 -2.9872153052
0.5623413252 0.0001000000 -2.9873010905
0.5623413252 0.0001778279 -2.9874535756
0.5623413252 0.0003162278 -2.9877245306
0.5623413252 0.0005623413 -2.9882057124
0.5623413252 0.0010000000 -2.9890593254
0.5623413252 0.0017782794 -2.9905707603
0.5623413252 0.0031622777 -2.9932378492
0.5623413252 0.0056234133 -2.9979152644
0.5623413252 0.0100000000 -3.0060263843
0.5623413252 0.0177827941 -2.7556590170
0.5623413252 0.0316227766 -2.7275480246
0.5623413252 0.0562341325 -3.0761811613
0.5623413252 0.1000000000 -3.1154956445
0.5623413252 0.1778279410 -3.1414074121
0.5623413252 0.3162277660 -3.1294239713
0.5623413252 0.5623413252 -2.8070262600
0.5623413252 1.0000000000 -2.3073379801
0.5623413252 1.7782794100 -2.3713716535
0.5623413252 3.1622776602 -2.2560079048
0.5623413252 5.6234132519 -1.9074690432
0.5623413252 10.0000000000 -1.9010606239
0.5623413252 17.7827941004 -1.3797991237
0.5623413252 31.6227766017 -0.7725757853
0.5623413252 56.2341325190 -0.3637888218
0.5623413252 100.0000000000 -0.1227721629
0.5623413252 177.8279410039 -0.0301967504
0.5623413252 316.2277660168 0.0000000000
